name,category,area,address,email,phone,whatsapp,website,notes,status
"Quest Staffing / Adcorp / Kelly",staffing,Sandton,"Adcorp Place, 102 Western Service Rd, Gallo Manor, Sandton, 2191",info@quest.co.za,010 800 0000,,https://www.quest.co.za,Adcorp group. Kelly also lists this Woodmead address.,NEW
Kelly,staffing,Sandton,"6 Protea Place, Sandton (also Adcorp Place, Woodmead)",info@kelly.co.za,011 722 8300,,https://www.kelly.co.za,Part of Adcorp. Confirm which desk to call before outreach.,NEW
Primeserv Group,staffing,Sandton,"25 Rudd Road, Illovo, Sandton, 2196",productivity@primeserv.co.za,011 691 8000 / 0860 777 677,,https://www.primeserv.co.za,,NEW
MECS Africa,staffing,Sandton,"MMG House, 66 Park Lane, Sandton, 2196",,011 218 8060,,https://www.mecs.co.za,No public inbox. Use the contact form on mecs.co.za. TESD also lists 61 Katherine St.,NEW
The Only Option,staffing,Sandton,"12 Desmond Street, Kramerville, Sandton, 2090",admin@theonlyoption.co,011 234 3454,,https://theonlyoption.co,,NEW
Impact Human Resources,staffing,Sandton,"Pinmill Office Park, Block G, 164 Katherine St, Sandton",info@impacthr.co.za,010 241 7000,,https://www.impacthr.co.za,"TESD lists Pinmill / Katherine St. Website now Waterfall Office Park, 2 Augrabies Rd, Midrand.",NEW
FROGG Recruitment,staffing,Sandton,"155 West St, Sandown, Sandton, 2196",sales@froggsa.co.za,010 824 6772,,https://www.froggsa.co.za,,NEW
Jelocorp Group,staffing,Sandton,"155 West St, Sandton CBD, 2031",recruitment@jelocorp.com,081 794 2924,081 794 2924,https://www.jelocorp.com,Mobile is worth trying on WhatsApp.,NEW
Robert Walters Africa,staffing,Sandton,"19th Floor, GreenPark Corner, cnr West Rd South & Lower Rd, Morningside, Sandton, 2196",south.africa@robertwalters.com,011 881 2400,,https://www.robertwalters.co.za,,NEW
Michael Page,staffing,Sandton,"5th Floor, The Forum, 2 Maude Street, Sandton City, 2196",clientafrica@michaelpage.co.za,011 303 8341,,https://www.michaelpage.co.za,,NEW
GAP Consulting,staffing,Sandton,"2nd Floor, West Tower, Nelson Mandela Square, Maude St, Sandton, 2196",info@gapconsulting.co.za,086 111 4992,,https://www.gapconsulting.co.za,,NEW
CG Recruitment,staffing,Sandton,"Atrium on 5th, 9th floor, Sandton",info@cgrecruitment.co.za,010 634 4931,,https://www.cgrecruitment.co.za,,NEW
Embark Recruitment,staffing,Sandton,"48 Coleraine Drive, River Club, Sandton, 2191",info@embarkrecruitment.co.za,076 223 5185,076 223 5185,https://www.embarkrecruitment.co.za,Mobile is worth trying on WhatsApp.,NEW
RED|LINE Recruitment,staffing,Sandton,"Bryanston, Sandton",,060 338 8920,060 338 8920,,Street number not on the site. No public inbox. Mobile is worth trying on WhatsApp.,NEW
Total Recruitment Solutions,staffing,Sandton,Sandton (Maps listing; office phone is national),trs@totalrecruitment.solutions,011 970 3166,,https://totalrecruitment.solutions,Confirm the Sandton desk before a visit.,NEW
The Learning Organisation,learnership,Sandton,"Glenfiddich Building, Kildrummy Office Park, 1 Umhlanga Ave, Paulshof, Sandton, 2191",info@tlo.co.za,010 612 0679,,https://www.tlo.co.za,,NEW
Skills Development Corporation,learnership,Sandton,"24 Achter Road, Paulshof, Sandton",info@sdcorp.co.za,010 900 3115,,https://www.sdcorp.co.za,,NEW
Tiso Skills Development Fund,learnership,Sandton,"Bayport House, 3 Alice Lane, Sandton, 2196",mkimmie@tiso.co.za,011 784 4111,,https://www.tiso.co.za,,NEW
Beth Horner & Associates,learnership,Sandton,Sandton training venue (street not published),info@bethhorner.net,087 153 8657,,https://www.bethhorner.net,"087 numbers are usually VoIP, not WhatsApp.",NEW
Afrika Tikkun,ngo,Sandton,"Ground Floor, Eastwood Building, 57 6th Road, Hyde Park, Sandton",info@afrikatikkun.org,011 325 5914,,https://www.afrikatikkun.org,"Head office. WhatsApp is opt-in on their site, not a published number.",NEW
Elite Employment,staffing,Sandton,,,,,"Google Maps listing only. Confirm address, email, and phone before outreach.",NEW
LVB Recruitment,staffing,Sandton,,,,,"Google Maps listing only. Confirm address, email, and phone before outreach.",NEW
BossJansen Executive Search,staffing,Sandton,,,,,"Google Maps listing only. Confirm address, email, and phone before outreach.",NEW
Emporium Human Capital,staffing,Sandton,,,,,"Google Maps listing only. Confirm address, email, and phone before outreach.",NEW
