priority,name,category,area,address,email,phone,whatsapp,website,pitch,notes,status
10,The Learning Organisation,learnership,Sandton,"Glenfiddich Building, Kildrummy Office Park, 1 Umhlanga Ave, Paulshof, Sandton, 2191",info@tlo.co.za,010 612 0679,,https://www.tlo.co.za,You place unemployed learners at host employers and manage the learnership end-to-end.,"Start here this week. Email, then phone in 3–5 days if there is no reply.",NEW
11,Skills Development Corporation,learnership,Sandton,"24 Achter Road, Paulshof, Sandton",info@sdcorp.co.za,010 900 3115,,https://www.sdcorp.co.za,"You source, host, and administer learnerships at scale from Paulshof.","This week. One email, then the office number.",NEW
12,Tiso Skills Development Fund,learnership,Sandton,"Bayport House, 3 Alice Lane, Sandton, 2196",mkimmie@tiso.co.za,011 784 4111,,https://www.tiso.co.za,You fund skills programmes and place learners with host employers from Alice Lane.,"This week. Named inbox, so keep the note to one person.",NEW
13,Beth Horner & Associates,learnership,Sandton,Sandton training venue (street not published),info@bethhorner.net,087 153 8657,,https://www.bethhorner.net,You run training and learnerships with a Sandton venue.,"This week. 087 is usually VoIP, not WhatsApp.",NEW
20,Quest Staffing / Adcorp / Kelly,staffing,Sandton,"Adcorp Place, 102 Western Service Rd, Gallo Manor, Sandton, 2191",info@quest.co.za,010 800 0000,,https://www.quest.co.za,You place candidates at host sites through the Adcorp / Quest / Kelly network.,Next after learnerships. Adcorp group. Kelly also lists this Woodmead address.,NEW
21,Kelly,staffing,Sandton,"6 Protea Place, Sandton (also Adcorp Place, Woodmead)",info@kelly.co.za,011 722 8300,,https://www.kelly.co.za,You staff host employers from Sandton and Woodmead.,Part of Adcorp. Confirm which desk to call before a visit.,NEW
22,Primeserv Group,staffing,Sandton,"25 Rudd Road, Illovo, Sandton, 2196",productivity@primeserv.co.za,011 691 8000 / 0860 777 677,,https://www.primeserv.co.za,You supply and manage people at client workplaces from Illovo.,,NEW
23,The Only Option,staffing,Sandton,"12 Desmond Street, Kramerville, Sandton, 2090",admin@theonlyoption.co,011 234 3454,,https://theonlyoption.co,You recruit and place people into host roles from Kramerville.,,NEW
24,Impact Human Resources,staffing,Sandton,"Pinmill Office Park, Block G, 164 Katherine St, Sandton",info@impacthr.co.za,010 241 7000,,https://www.impacthr.co.za,You place and manage people at client sites from Sandton / Midrand.,"TESD lists Pinmill / Katherine St. Website now Waterfall Office Park, 2 Augrabies Rd, Midrand.",NEW
25,FROGG Recruitment,staffing,Sandton,"155 West St, Sandown, Sandton, 2196",sales@froggsa.co.za,010 824 6772,,https://www.froggsa.co.za,You recruit for host employers from Sandown.,,NEW
26,Jelocorp Group,staffing,Sandton,"155 West St, Sandton CBD, 2031",recruitment@jelocorp.com,081 794 2924,081 794 2924,https://www.jelocorp.com,You recruit and place people into workplaces from Sandton CBD.,Email first. Mobile is worth trying on WhatsApp if they do not reply.,NEW
27,Robert Walters Africa,staffing,Sandton,"19th Floor, GreenPark Corner, cnr West Rd South & Lower Rd, Morningside, Sandton, 2196",south.africa@robertwalters.com,011 881 2400,,https://www.robertwalters.co.za,You place professionals at client sites across South Africa from Morningside.,,NEW
28,Michael Page,staffing,Sandton,"5th Floor, The Forum, 2 Maude Street, Sandton City, 2196",clientafrica@michaelpage.co.za,011 303 8341,,https://www.michaelpage.co.za,You place people into client workplaces from Sandton City.,,NEW
29,GAP Consulting,staffing,Sandton,"2nd Floor, West Tower, Nelson Mandela Square, Maude St, Sandton, 2196",info@gapconsulting.co.za,086 111 4992,,https://www.gapconsulting.co.za,You consult and place people at host employers from Nelson Mandela Square.,,NEW
30,CG Recruitment,staffing,Sandton,"Atrium on 5th, 9th floor, Sandton",info@cgrecruitment.co.za,010 634 4931,,https://www.cgrecruitment.co.za,You recruit for host employers from Atrium on 5th.,,NEW
31,Embark Recruitment,staffing,Sandton,"48 Coleraine Drive, River Club, Sandton, 2191",info@embarkrecruitment.co.za,076 223 5185,076 223 5185,https://www.embarkrecruitment.co.za,You recruit and place people from River Club.,Email first. Mobile is worth trying on WhatsApp if they do not reply.,NEW
32,Total Recruitment Solutions,staffing,Sandton,Sandton (Maps listing; office phone is national),trs@totalrecruitment.solutions,011 970 3166,,https://totalrecruitment.solutions,You recruit nationally and list a Sandton presence.,Confirm the Sandton desk before a visit.,NEW
40,Afrika Tikkun,ngo,Sandton,"Ground Floor, Eastwood Building, 57 6th Road, Hyde Park, Sandton",info@afrikatikkun.org,011 325 5914,,https://www.afrikatikkun.org,You support young people who are placed at workplaces. Clock-Kit has an NGO billing plan if you run host placements.,Ask whether they run host placements. WhatsApp is opt-in on their site.,NEW
50,MECS Africa,staffing,Sandton,"MMG House, 66 Park Lane, Sandton, 2196",,011 218 8060,,https://www.mecs.co.za,You place people at client sites from Park Lane.,No public inbox. Call or use the contact form on mecs.co.za. TESD also lists 61 Katherine St.,NEW
51,RED|LINE Recruitment,staffing,Sandton,"Bryanston, Sandton",,060 338 8920,060 338 8920,,You recruit from Bryanston / Sandton.,No public inbox. Introduce yourself on WhatsApp first. Street number is not on the site.,NEW
90,Elite Employment,staffing,Sandton,,,,,,,"Google Maps listing only. Confirm address, email, and phone before any outreach.",NEW
91,LVB Recruitment,staffing,Sandton,,,,,,,"Google Maps listing only. Confirm address, email, and phone before any outreach.",NEW
92,BossJansen Executive Search,staffing,Sandton,,,,,,,"Google Maps listing only. Confirm address, email, and phone before any outreach.",NEW
93,Emporium Human Capital,staffing,Sandton,,,,,,,"Google Maps listing only. Confirm address, email, and phone before any outreach.",NEW
